"word","phonetic","definition","translation","pos","collins","oxford","tag","bnc","frq","exchange","example","example_translation"
"abandon","/əˈbændən/","v. to give up completely","v. 放弃；抛弃","v.","2","1","cet4","2312","4.2","0:abandons/1:abandoning/2:abandoned","He abandoned his plan to travel abroad.","他放弃了出国旅行的计划。"
"ability","/əˈbɪləti/","n. the capacity to do something","n. 能力；才能","n.","3","1","cet4","1987","4.5","0:abilities","She has the ability to solve complex problems.","她有解决复杂问题的能力。"
"abroad","/əˈbrɔːd/","adv. in or to a foreign country","adv. 在国外；到国外","adv.","3","0","cet4","2654","3.9","","He dreams of studying abroad.","他梦想着出国留学。"
"absent","/ˈæbsənt/","adj. not present in a place","adj. 缺席的；不在的","adj.","3","0","cet4","3456","3.4","","Tom was absent from school yesterday.","汤姆昨天没来上学。"
"absolute","/ˈæbsəluːt/","adj. total and complete","adj. 绝对的；完全的","adj.","3","0","cet4","3876","3.3","","I have absolute trust in her.","我完全信任她。"
"absorb","/əbˈzɔːrb/","v. to take in or soak up","v. 吸收；吸引","v.","3","0","cet4","4321","3","0:absorbs/1:absorbing/2:absorbed","Plants absorb water from the soil.","植物从土壤中吸收水分。"
"abstract","/ˈæbstrækt/","adj. existing in thought","adj. 抽象的；n. 摘要","adj.","3","1","cet4","2587","3.9","0:abstracts","The concept is too abstract to understand.","这个概念太抽象了，难以理解。"
"abundant","/əˈbʌndənt/","adj. existing in large quantities","adj. 丰富的；充裕的","adj.","3","0","cet4","6543","2.2","","The region has abundant natural resources.","该地区拥有丰富的自然资源。"
"abuse","/əˈbjuːz/","v. to use for wrong purpose","v. 滥用；虐待","v.","3","0","cet4","2134","4.1","0:abuses/1:abusing/2:abused","He was accused of abusing his power.","他被指控滥用职权。"
"academic","/ˌækəˈdemɪk/","adj. relating to education","adj. 学术的；学院的","adj.","4","1","cet4","1870","4.5","0:academics","She has excellent academic records.","她的学业成绩非常优秀。"
"accelerate","/əkˈseləreɪt/","v. to move more quickly","v. 加速；促进","v.","3","0","cet4","4723","3.1","0:accelerates/1:accelerating/2:accelerated","The car accelerated quickly.","汽车加速很快。"
"access","/ˈækses/","n. the means to approach","n. 通道；进入权","n.","4","1","cet4","1098","5","0:accesses/1:accessing/2:accessed","You need a password to access the system.","你需要密码才能访问系统。"
"accommodate","/əˈkɑːmədeɪt/","v. to provide lodging","v. 容纳；提供住宿","v.","3","0","cet4","3156","3.6","0:accommodates/1:accommodating/2:accommodated","The hotel can accommodate 500 guests.","这家酒店可容纳500位客人。"
"accompany","/əˈkʌmpəni/","v. to go with someone","v. 陪伴；伴随","v.","3","0","cet4","2890","3.8","0:accompanies/1:accompanying/2:accompanied","I will accompany you to the station.","我会陪你去车站。"
"accomplish","/əˈkɑːmplɪʃ/","v. to achieve successfully","v. 完成；实现","v.","3","0","cet4","3782","3.4","0:accomplishes/1:accomplishing/2:accomplished","We accomplished our mission successfully.","我们成功完成了任务。"
"accurate","/ˈækjərət/","adj. correct in details","adj. 准确的；精确的","adj.","3","0","cet4","2976","3.7","","The data is accurate and reliable.","数据准确可靠。"
"achieve","/əˈtʃiːv/","v. to successfully bring about","v. 达到；取得","v.","4","1","cet4","1258","4.8","0:achieves/1:achieving/2:achieved","She achieved her goal of becoming a doctor.","她实现了当医生的目标。"
"acknowledge","/əkˈnɑːlɪdʒ/","v. to accept existence","v. 承认；确认","v.","3","0","cet4","2987","3.7","0:acknowledges/1:acknowledging/2:acknowledged","He acknowledged his mistake.","他承认了自己的错误。"
"acquire","/əˈkwaɪər/","v. to obtain","v. 获得；学到","v.","4","0","cet4","1987","4.4","0:acquires/1:acquiring/2:acquired","It takes time to acquire new skills.","学习新技能需要时间。"
"adapt","/əˈdæpt/","v. to make suitable","v. 适应；改编","v.","3","0","cet4","3321","3.5","0:adapts/1:adapting/2:adapted","You need to adapt to the new environment.","你需要适应新环境。"
"adequate","/ˈædɪkwət/","adj. satisfactory","adj. 足够的；适当的","adj.","3","0","cet4","3876","3.3","","The supply is adequate for our needs.","供应足以满足我们的需求。"
"adjust","/əˈdʒʌst/","v. to alter slightly","v. 调整；适应","v.","3","0","cet4","3121","3.5","0:adjusts/1:adjusting/2:adjusted","Please adjust the volume.","请调整音量。"
"administration","/ədˌmɪnɪˈstreɪʃn/","n. running a business","n. 管理；行政","n.","4","0","cet4","2134","4.1","0:administrations","The company has a strong administration.","这家公司有强大的行政管理部门。"
"admit","/ədˈmɪt/","v. to confess","v. 承认；准许进入","v.","4","0","cet4","1678","4.6","0:admits/1:admitting/2:admitted","He admitted his mistake.","他承认了自己的错误。"
"adopt","/əˈdɑːpt/","v. to take child legally","v. 采用；收养","v.","3","0","cet4","2891","3.8","0:adopts/1:adopting/2:adopted","They decided to adopt a child.","他们决定收养一个孩子。"
"advance","/ədˈvæns/","n. forward movement","n. 前进；进步","n.","4","1","cet4","1543","4.7","0:advances/1:advancing/2:advanced","Technology continues to advance rapidly.","技术继续快速发展。"
"advantage","/ədˈvæntɪdʒ/","n. condition giving chance","n. 优势；有利条件","n.","4","0","cet4","1890","4.5","0:advantages","Being bilingual is a great advantage.","双语能力是一个很大的优势。"
"affair","/əˈfer/","n. an event","n. 事件；事务","n.","3","0","cet4","2789","3.8","0:affairs","This is a public affair.","这是一件公共事务。"
"affect","/əˈfekt/","v. to have effect on","v. 影响；感动","v.","4","1","cet4","1345","4.9","0:affects/1:affecting/2:affected","The weather can affect our mood.","天气会影响我们的心情。"
"afford","/əˈfɔːrd/","v. to have money for","v. 负担得起","v.","3","0","cet4","2345","4","0:affords/1:affording/2:afforded","I can't afford a new car right now.","我现在买不起新车。"
"agency","/ˈeɪdʒənsi/","n. business providing service","n. 代理机构","n.","3","0","cet4","3120","3.5","0:agencies","She works at a travel agency.","她在一家旅行社工作。"
"agenda","/əˈdʒendə/","n. list of items","n. 议程","n.","3","0","cet4","4321","3","0:agendas","What is on today's agenda?","今天的议程是什么？"
"aggressive","/əˈɡresɪv/","adj. ready to attack","adj. 侵略的；进取的","adj.","3","0","cet4","3890","3.3","","He has an aggressive business strategy.","他有一个激进的商业策略。"
"agreement","/əˈɡriːmənt/","n. negotiated arrangement","n. 协议；同意","n.","4","0","cet4","1678","4.6","0:agreements","We reached an agreement.","我们达成了协议。"
"alarm","/əˈlɑːrm/","n. warning of danger","n. 警报；闹钟","n.","3","0","cet4","3987","3.2","0:alarms/1:alarming/2:alarmed","The fire alarm went off suddenly.","火警突然响了。"
"alcohol","/ˈælkəhɔːl/","n. drink containing ethanol","n. 酒精","n.","3","0","cet4","3876","3.3","","He doesn't drink alcohol.","他不喝酒。"
"allowance","/əˈlaʊəns/","n. money given regularly","n. 津贴；零用钱","n.","3","0","cet4","5432","2.6","0:allowances","My parents give me a monthly allowance.","我父母每月给我零花钱。"
"alongside","/əˈlɔːŋsaɪd/","prep. next to","prep. 在……旁边","prep.","3","0","cet4","4890","2.9","","She stood alongside her brother.","她站在她哥哥旁边。"
"alter","/ˈɔːltər/","v. to change","v. 改变；修改","v.","3","0","cet4","3987","3.2","0:alters/1:altering/2:altered","We need to alter our plans.","我们需要改变计划。"
"alternative","/ɔːlˈtɜːrnətɪv/","n. one of possibilities","n. 替代方案","n.","4","0","cet4","2678","3.8","0:alternatives","We have no alternative but to wait.","我们别无选择，只能等待。"
"amaze","/əˈmeɪz/","v. to surprise greatly","v. 使惊讶","v.","3","0","cet4","5120","2.8","0:amazes/1:amazing/2:amazed","The view amazed us.","景色让我们惊叹不已。"
"ambition","/æmˈbɪʃn/","n. strong desire","n. 雄心；抱负","n.","3","0","cet4","3456","3.4","0:ambitions","She has the ambition to become a CEO.","她有成为CEO的抱负。"
"ambulance","/ˈæmbjələns/","n. vehicle for sick","n. 救护车","n.","2","0","cet4","6789","2.1","0:ambulances","An ambulance arrived quickly.","救护车很快就到了。"
"amount","/əˈmaʊnt/","n. quantity of something","n. 数量；金额","n.","4","1","cet4","1234","4.9","0:amounts","A large amount of money was spent.","花费了大量的钱。"
"amuse","/əˈmjuːz/","v. to cause to find funny","v. 娱乐；逗乐","v.","3","0","cet4","5432","2.6","0:amuses/1:amusing/2:amused","The clown amused the children.","小丑逗乐了孩子们。"
"analyze","/ˈænəlaɪz/","v. to examine methodically","v. 分析","v.","3","0","cet4","2987","3.7","0:analyzes/1:analyzing/2:analyzed","We need to analyze the data.","我们需要分析数据。"
"ancestor","/ˈænsestər/","n. person from whom descended","n. 祖先","n.","3","0","cet4","5432","2.6","0:ancestors","My ancestors came from China.","我的祖先来自中国。"
"anchor","/ˈæŋkər/","n. heavy device for mooring","n. 锚","n.","3","0","cet4","5678","2.5","0:anchors/1:anchoring/2:anchored","The ship dropped anchor.","船抛了锚。"
"angle","/ˈæŋɡl/","n. space between lines","n. 角度；视角","n.","3","0","cet4","3987","3.2","0:angles","Let's look at this from a different angle.","让我们从不同的角度看这个问题。"
"anniversary","/ˌænɪˈvɜːrsəri/","n. date of past event","n. 周年纪念日","n.","3","0","cet4","5432","2.6","0:anniversaries","Today is our wedding anniversary.","今天是我们的结婚纪念日。"
"announce","/əˈnaʊns/","v. to make public declaration","v. 宣布","v.","3","0","cet4","2345","4","0:announces/1:announcing/2:announced","They announced their engagement.","他们宣布了订婚的消息。"
"annoy","/əˈnɔɪ/","v. to make slightly angry","v. 使恼怒","v.","3","0","cet4","4567","2.9","0:annoys/1:annoying/2:annoyed","The noise annoyed me.","噪音让我很烦。"
"annual","/ˈænjuəl/","adj. occurring once a year","adj. 年度的","adj.","4","0","cet4","2678","3.8","","This is our annual report.","这是我们的年度报告。"
"anticipate","/ænˈtɪsɪpeɪt/","v. to regard as probable","v. 预期；期望","v.","3","0","cet4","3890","3.3","0:anticipates/1:anticipating/2:anticipated","We anticipate success.","我们预期会成功。"
"anxiety","/æŋˈzaɪəti/","n. feeling of worry","n. 焦虑","n.","3","0","cet4","3987","3.2","0:anxieties","She felt anxiety before the exam.","考试前她感到焦虑。"
"apart","/əˈpɑːrt/","adv. separated by distance","adv. 分开地","adv.","3","0","cet4","2789","3.8","","The two houses are far apart.","这两栋房子相距很远。"
"apology","/əˈpɑːlədʒi/","n. regretful acknowledgment","n. 道歉","n.","3","0","cet4","4890","2.9","0:apologies","She accepted his apology.","她接受了他的道歉。"
"apparent","/əˈpærənt/","adj. clearly visible","adj. 明显的","adj.","3","0","cet4","3456","3.4","","It is apparent that he is lying.","很明显他在撒谎。"
"appeal","/əˈpiːl/","v. to make urgent request","v. 呼吁；吸引","v.","3","0","cet4","2987","3.7","0:appeals/1:appealing/2:appealed","The idea appeals to me.","这个想法吸引了我。"
"appetite","/ˈæpɪtaɪt/","n. natural desire for food","n. 胃口；食欲","n.","3","0","cet4","4890","2.9","","I have a good appetite today.","我今天胃口很好。"
"appliance","/əˈplaɪəns/","n. device for task","n. 电器；器具","n.","3","0","cet4","5432","2.6","0:appliances","This kitchen appliance is very useful.","这个厨房电器非常有用。"
"application","/ˌæplɪˈkeɪʃn/","n. formal request","n. 申请；应用","n.","4","0","cet4","1876","4.5","0:applications","Please submit your application by Friday.","请在周五前提交申请。"
"apply","/əˈplaɪ/","v. to make formal request","v. 申请；应用","v.","4","1","cet4","1456","4.7","0:applies/1:applying/2:applied","I want to apply for this job.","我想申请这份工作。"
"appoint","/əˈpɔɪnt/","v. to assign job","v. 任命；指定","v.","3","0","cet4","3987","3.2","0:appoints/1:appointing/2:appointed","They appointed him as manager.","他们任命他为经理。"
"appreciate","/əˈpriːʃieɪt/","v. to recognize worth","v. 欣赏；感激","v.","3","0","cet4","2987","3.7","0:appreciates/1:appreciating/2:appreciated","I really appreciate your help.","我非常感谢你的帮助。"
"approach","/əˈproʊtʃ/","v. to come near","v. 接近；处理","v.","4","1","cet4","1345","4.9","0:approaches/1:approaching/2:approached","Winter is approaching.","冬天即将来临。"
"appropriate","/əˈproʊpriət/","adj. suitable","adj. 适当的","adj.","4","0","cet4","2134","4.1","","Please wear appropriate clothing.","请穿合适的衣服。"
"approve","/əˈpruːv/","v. to officially agree","v. 批准；赞成","v.","3","0","cet4","2678","3.8","0:approves/1:approving/2:approved","The committee approved the proposal.","委员会批准了这个提议。"
"arise","/əˈraɪz/","v. to come into being","v. 出现；产生","v.","3","0","cet4","3120","3.5","0:arises/1:arising/2:arose/3:arisen","A new problem has arisen.","出现了一个新问题。"
"arouse","/əˈraʊz/","v. to awaken feeling","v. 唤醒；引起","v.","3","0","cet4","4890","2.9","0:arouses/1:arousing/2:aroused","The news aroused great interest.","这个消息引起了极大的兴趣。"
"arrange","/əˈreɪndʒ/","v. to put in order","v. 安排；整理","v.","3","0","cet4","2987","3.7","0:arranges/1:arranging/2:arranged","Can you arrange a meeting?","你能安排一个会议吗？"
"arrest","/əˈrest/","v. to seize by authority","v. 逮捕","v.","3","0","cet4","3456","3.4","0:arrests/1:arresting/2:arrested","The police arrested the suspect.","警察逮捕了嫌疑犯。"
"artificial","/ˌɑːrtɪˈfɪʃl/","adj. made by human","adj. 人造的","adj.","3","0","cet4","4321","3","","This is an artificial lake.","这是一个人工湖。"
"aspect","/ˈæspekt/","n. particular part","n. 方面；层面","n.","4","0","cet4","2134","4.1","0:aspects","This is an important aspect of the problem.","这是问题的重要方面。"
"assemble","/əˈsembl/","v. to gather together","v. 集合；组装","v.","3","0","cet4","3876","3.3","0:assembles/1:assembling/2:assembled","The students assembled in the hall.","学生们在大厅集合。"
"assess","/əˈses/","v. to evaluate","v. 评估；评定","v.","4","0","cet4","2678","3.8","0:assesses/1:assessing/2:assessed","We need to assess the situation.","我们需要评估形势。"
"asset","/ˈæset/","n. useful or valuable thing","n. 资产；优点","n.","4","0","cet4","2987","3.7","0:assets","She is an asset to the team.","她是团队的宝贵财富。"
"assign","/əˈsaɪn/","v. to allocate task","v. 分配；指派","v.","3","0","cet4","3456","3.4","0:assigns/1:assigning/2:assigned","The teacher assigned homework.","老师布置了作业。"
"assist","/əˈsɪst/","v. to help","v. 帮助；协助","v.","3","0","cet4","3120","3.5","0:assists/1:assisting/2:assisted","Can you assist me with this?","你能帮我一下吗？"
"associate","/əˈsoʊʃieɪt/","v. to connect in mind","v. 联系；关联","v.","4","0","cet4","2345","4","0:associates/1:associating/2:associated","I associate this song with my childhood.","我把这首歌和童年联系起来。"
"assume","/əˈsuːm/","v. to suppose","v. 假设；承担","v.","4","0","cet4","1890","4.5","0:assumes/1:assuming/2:assumed","I assume he will come.","我假设他会来。"
"atmosphere","/ˈætməsfɪr/","n. gases surrounding earth","n. 大气层；气氛","n.","3","0","cet4","3120","3.5","","The atmosphere was tense.","气氛很紧张。"
"attach","/əˈtætʃ/","v. to fasten or join","v. 附上；系上","v.","3","0","cet4","2678","3.8","0:attaches/1:attaching/2:attached","Please attach your resume.","请附上你的简历。"
"adolescent","/ˌædəˈlesnt/","n. young person developing","n. 青少年","n.","3","0","cet6","5120","2.8","0:adolescents","The adolescent period is very important.","青春期非常重要。"
"adverse","/ˈædvɜːrs/","adj. preventing success","adj. 不利的","adj.","3","0","cet6","5678","2.5","","The adverse weather delayed the flight.","不利的天气延误了航班。"
"advocate","/ˈædvəkeɪt/","v. to publicly recommend","v. 提倡；拥护","v.","3","0","cet6","3987","3.2","0:advocates/1:advocating/2:advocated","He advocates for environmental protection.","他倡导环境保护。"
"aesthetic","/esˈθetɪk/","adj. concerned with beauty","adj. 美学的","adj.","3","0","cet6","6789","2.1","","The building has great aesthetic appeal.","这座建筑具有很强的审美吸引力。"
"aggregate","/ˈæɡrɪɡət/","n. whole formed by combining","n. 合计；集合体","n.","3","0","cet6","7234","1.8","0:aggregates/1:aggregating/2:aggregated","The aggregate amount is quite large.","总金额相当大。"
"allege","/əˈledʒ/","v. to claim or assert","v. 指控；宣称","v.","3","0","cet6","5432","2.6","0:alleges/1:alleging/2:alleged","He alleged that the company cheated.","他声称公司作弊。"
"alleviate","/əˈliːvieɪt/","v. to make suffering less","v. 减轻；缓解","v.","3","0","cet6","6780","2.1","0:alleviates/1:alleviating/2:alleviated","The medicine helps alleviate pain.","这种药有助于减轻疼痛。"
"allocate","/ˈæləkeɪt/","v. to distribute resources","v. 分配；拨出","v.","3","0","cet6","5432","2.6","0:allocates/1:allocating/2:allocated","The government allocated funds for education.","政府为教育分配了资金。"
"ambiguous","/æmˈbɪɡjuəs/","adj. open to interpretation","adj. 模棱两可的","adj.","3","0","cet6","5890","2.4","","The message was ambiguous.","信息含糊不清。"
"amend","/əˈmend/","v. to make minor changes","v. 修改；修订","v.","3","0","cet6","5120","2.8","0:amends/1:amending/2:amended","They decided to amend the contract.","他们决定修改合同。"
"analogy","/əˈnælədʒi/","n. comparison between things","n. 类比；比喻","n.","3","0","cet6","6345","2.3","0:analogies","The analogy helps explain the concept.","这个类比有助于解释概念。"
"anonymous","/əˈnɑːnɪməs/","adj. not identified by name","adj. 匿名的","adj.","3","0","cet6","5678","2.5","","The donor wished to remain anonymous.","捐赠者希望保持匿名。"
"apparatus","/ˌæpəˈrætəs/","n. technical equipment","n. 设备；仪器","n.","3","0","cet6","6789","2.1","0:apparatuses","The lab has advanced apparatus.","实验室有先进的设备。"
"appraisal","/əˈpreɪzl/","n. act of assessing","n. 评价；评估","n.","3","0","cet6","7230","1.8","0:appraisals","The appraisal of the house took a week.","房子的评估花了一周时间。"
"articulate","/ɑːrˈtɪkjuleɪt/","v. to express fluently","v. 明确表达","v.","3","0","cet6","6123","2.4","0:articulates/1:articulating/2:articulated","She articulated her thoughts clearly.","她清晰地表达了想法。"
"ascertain","/ˌæsərˈteɪn/","v. to find out for certain","v. 查明；确定","v.","3","0","cet6","7230","1.8","0:ascertains/1:ascertaining/2:ascertained","We need to ascertain the facts.","我们需要查明事实。"
"assault","/əˈsɔːlt/","n. physical attack","n. 攻击；袭击","n.","3","0","cet6","5432","2.6","0:assaults/1:assaulting/2:assaulted","The assault was reported to the police.","袭击事件已向警方报告。"
"assert","/əˈsɜːrt/","v. to state confidently","v. 断言；主张","v.","3","0","cet6","4890","2.9","0:asserts/1:asserting/2:asserted","He asserted his innocence.","他坚称自己无罪。"
"assimilate","/əˈsɪməleɪt/","v. to take in and understand","v. 吸收；同化","v.","3","0","cet6","7890","1.6","0:assimilates/1:assimilating/2:assimilated","It takes time to assimilate new information.","吸收新信息需要时间。"
"authorize","/ˈɔːθəraɪz/","v. to give official permission","v. 授权；批准","v.","3","0","cet6","5120","2.8","0:authorizes/1:authorizing/2:authorized","The manager authorized the payment.","经理批准了付款。"
"autonomous","/ɔːˈtɑːnəməs/","adj. self-governing","adj. 自治的","adj.","3","0","cet6","6345","2.3","","The region became autonomous.","该地区实现了自治。"
"barrier","/ˈbæriər/","n. fence or obstacle","n. 障碍；屏障","n.","3","0","cet6","3121","3.5","0:barriers","Language can be a barrier to communication.","语言可能成为沟通的障碍。"
"benevolent","/bəˈnevələnt/","adj. well-meaning","adj. 仁慈的","adj.","3","0","cet6","8345","1.4","","He is known for his benevolent acts.","他以仁慈的行为著称。"
"betray","/bɪˈtreɪ/","v. to expose to danger","v. 背叛；出卖","v.","3","0","cet6","5890","2.4","0:betrays/1:betraying/2:betrayed","He betrayed his friend's trust.","他背叛了朋友的信任。"
"blueprint","/ˈbluːprɪnt/","n. design plan","n. 蓝图；计划","n.","3","0","cet6","7230","1.8","0:blueprints","They have a blueprint for success.","他们有一个成功的蓝图。"
"bribe","/braɪb/","v. to dishonestly persuade","v. 贿赂","v.","3","0","cet6","6123","2.4","0:bribes/1:bribing/2:bribed","He was accused of accepting a bribe.","他被指控收受贿赂。"
"chronic","/ˈkrɑːnɪk/","adj. persisting long time","adj. 慢性的","adj.","3","0","cet6","6123","2.4","","He suffers from chronic pain.","他患有慢性疼痛。"
"circulate","/ˈsɜːrkjəleɪt/","v. to move through system","v. 循环；流通","v.","3","0","cet6","4890","2.9","0:circulates/1:circulating/2:circulated","Blood circulates throughout the body.","血液在全身循环。"
